index,u_grid,u_geom,t_progress,t_eval_used_for_tracks,x,y,width_eval,height_eval,theta_eval,theta_internal,theta_raw,tangent_angle,effective_theta,offset_eval,alpha_eval
69,0.226974,0.226974,0.227008,0.227008,139.864962,137.299555,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.864962,0.000000
70,0.230263,0.230263,0.230298,0.230298,139.848512,139.289404,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.848512,0.000000
71,0.233553,0.233553,0.233588,0.233588,139.832062,141.279252,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.832062,0.000000
72,0.236842,0.236842,0.236878,0.236878,139.815612,143.269101,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.815612,0.000000
73,0.240132,0.240132,0.240167,0.240167,139.799163,145.258950,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.799163,0.000000
74,0.243421,0.243421,0.243457,0.243457,139.782713,147.248798,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.782713,0.000000
75,0.246711,0.246711,0.246747,0.246747,139.766263,149.238647,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.766263,0.000000
76,0.250000,0.250000,0.250037,0.250037,139.749813,151.228496,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.749813,0.000000
77,0.253289,0.253289,0.253327,0.253327,139.733363,153.218344,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.733363,0.000000
78,0.256579,0.256579,0.256617,0.256617,139.716913,155.208193,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.716913,0.000000
79,0.259868,0.259868,0.259907,0.259907,139.700464,157.198041,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.700464,0.000000
80,0.263158,0.263158,0.263197,0.263197,139.684014,159.187890,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.684014,0.000000
81,0.266447,0.266447,0.266487,0.266487,139.667564,161.177739,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.667564,0.000000
82,0.269737,0.269737,0.269777,0.269777,139.651114,163.167587,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.651114,0.000000
83,0.273026,0.273026,0.273067,0.273067,139.634664,165.157436,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.634664,0.000000
84,0.276316,0.276316,0.276357,0.276357,139.618214,167.147285,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.618214,0.000000
85,0.279605,0.279605,0.279647,0.279647,139.601765,169.137133,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.601765,0.000000
86,0.282895,0.282895,0.282937,0.282937,139.585315,171.126982,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.585315,0.000000
87,0.286184,0.286184,0.286227,0.286227,139.568865,173.116830,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.568865,0.000000
88,0.289474,0.289474,0.289517,0.289517,139.552415,175.106679,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.552415,0.000000
89,0.292763,0.292763,0.292807,0.292807,139.535965,177.096528,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.535965,0.000000
90,0.296053,0.296053,0.296097,0.296097,139.519515,179.086376,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.519515,0.000000
91,0.299342,0.299342,0.299387,0.299387,139.503066,181.076225,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.503066,0.000000
92,0.302632,0.302632,0.302677,0.302677,139.486616,183.066074,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.486616,0.000000
93,0.305921,0.305921,0.305967,0.305967,139.470166,185.055922,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.470166,0.000000
94,0.309211,0.309211,0.309257,0.309257,139.453716,187.045771,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.453716,0.000000
95,0.312500,0.312500,0.312547,0.312547,139.437266,189.035619,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.437266,0.000000
96,0.315789,0.315789,0.315837,0.315837,139.420817,191.025468,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.420817,0.000000
97,0.319079,0.319079,0.319127,0.319127,139.404367,193.015317,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.404367,0.000000
98,0.322368,0.322368,0.322417,0.322417,139.387917,195.005165,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.387917,0.000000
99,0.325658,0.325658,0.325707,0.325707,139.371467,196.995014,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.371467,0.000000
