index,u_param,t_progress,x,y,width_eval,height_eval,theta_eval,theta_internal,offset_eval
208,0.833333,0.837918,24.596706,191.682299,40.000000,10.000000,2.632396,2.632396,0.000000
209,0.840278,0.844766,25.427625,190.006525,40.000000,10.000000,2.653910,2.653910,0.000000
210,0.847222,0.851614,26.258545,188.330751,40.000000,10.000000,2.675424,2.675424,0.000000
211,0.854167,0.858462,27.089464,186.654978,40.000000,10.000000,2.696938,2.696938,0.000000
212,0.861111,0.865310,27.920384,184.979204,40.000000,10.000000,2.718452,2.718452,0.000000
213,0.868056,0.872158,28.751303,183.303430,40.000000,10.000000,2.739966,2.739966,0.000000
214,0.875000,0.879007,29.582222,181.627656,40.000000,10.000000,2.761481,2.761481,0.000000
215,0.882353,0.886124,29.018562,179.767206,40.000000,10.000000,2.783840,2.783840,0.000000
216,0.889706,0.893241,28.454902,177.906755,40.000000,10.000000,2.806200,2.806200,0.000000
217,0.897059,0.900358,27.891242,176.046305,40.000000,10.000000,2.828559,2.828559,0.000000
218,0.904412,0.907476,27.327582,174.185854,40.000000,10.000000,2.850919,2.850919,0.000000
219,0.911765,0.914593,26.763922,172.325404,40.000000,10.000000,2.873278,2.873278,0.000000
220,0.919118,0.921710,26.200262,170.464954,40.000000,10.000000,2.895638,2.895638,0.000000
221,0.926471,0.928827,25.636601,168.604503,40.000000,10.000000,2.917997,2.917997,0.000000
222,0.933824,0.935945,25.072941,166.744053,40.000000,10.000000,2.940357,2.940357,0.000000
223,0.941176,0.943062,24.509281,164.883603,40.000000,10.000000,2.962716,2.962716,0.000000
224,0.948529,0.950179,23.945621,163.023152,40.000000,10.000000,2.985076,2.985076,0.000000
225,0.955882,0.957296,23.381961,161.162702,40.000000,10.000000,3.007435,3.007435,0.000000
226,0.963235,0.964414,22.818301,159.302252,40.000000,10.000000,3.029795,3.029795,0.000000
227,0.970588,0.971531,22.254641,157.441801,40.000000,10.000000,3.052155,3.052155,0.000000
228,0.977941,0.978648,21.690980,155.581351,40.000000,10.000000,3.074514,3.074514,0.000000
229,0.985294,0.985765,21.127320,153.720901,40.000000,10.000000,3.096874,3.096874,0.000000
230,0.992647,0.992883,20.563660,151.860450,40.000000,10.000000,3.119233,3.119233,0.000000
231,1.000000,1.000000,20.000000,150.000000,40.000000,10.000000,3.141593,3.141593,0.000000
